sample_ID,C_N,d13C_post,d13C_kilj,d13C,d15N,location,organism,month,tissue,year,fl,tl,wt,liver_wt,sex,gonad_wt,full_gut_wt,empty_gut_wt,stom_content,number_content,content_wt,notes...14,,
FN-M24-CS-5-L,7.227037188,-30.336,-30.30047264,-32.56,5.6,creek,common shiner,may,liver,2024,107,117,14.6366,0.3123,F,0.567,0.5357,0.209,White goo/Detritus,NA,NA,NA,,
FN-M24-CS-5-M,4.148832909,-25.8757,-26.21148691,-29.06,6.57,creek,common shiner,may,muscle,2024,107,117,14.6366,0.3123,F,0.567,0.5357,0.209,White goo/Detritus,NA,NA,NA,,
LK-M24-CS-306-L,8.963928588,-29.4629,-29.3146353,-31.38,5.29,lake,common shiner,may,liver,2024,112,123,18.4351,0.6087,F,1.041,1.4662,0.8608,dog food,NA,NA,NA,,
LK-M24-CS-306-M,4.191516819,-25.2184,-25.6623621,-28.67,6.84,lake,common shiner,may,muscle,2024,112,123,18.4351,0.6087,F,1.041,1.4662,0.8608,dog food,NA,NA,NA,,
LK10-M24-CS-1-L,8.726064333,-34.5847,-34.15280525,-35.69,4.47,lake,common shiner,may,liver,2024,122,135,27.2538,0.6291,F,1.1055,1.5963,0.605,Chironomids,9,NA,NA,,
LK10-M24-CS-1-M,4.192346889,-35.2002,-34.62200708,-35.86,4.02,lake,common shiner,may,muscle,2024,122,135,27.2538,0.6291,F,1.1055,1.5963,0.605,Chironomids,9,NA,NA,,
LK10-M24-CS-200-L,7.730114062,-28.9352,-28.87029708,-31.08,5.52,lake,common shiner,may,liver,2024,108,119,12.6795,0.1546,M,0.0403,0.6798,0.1818,Odonate,1,NA,NA,,
LK10-M24-CS-200-M,4.234694759,-25.9196,-26.01865135,-28.5,5.96,lake,common shiner,may,muscle,2024,108,119,12.6795,0.1546,M,0.0403,0.6798,0.1818,Odonate,1,NA,NA,,
LK10-M24-CS-201-L,8.404399957,-29.8321,-29.65522372,-31.67,5.21,lake,common shiner,may,liver,2024,109,120,18.1237,0.5766,F,1.1817,0.5917,0.2679,White goo/Algae,NA,NA,1 parasite (thin and red/black) found in body cavity,,
LK10-M24-CS-201-M,4.184889112,-26.2417,-26.42103244,-29.03,6.17,lake,common shiner,may,muscle,2024,109,120,18.1237,0.5766,F,1.1817,0.5917,0.2679,White goo/Algae,NA,NA,1 parasite (thin and red/black) found in body cavity,,
LK10-M24-CS-202-L,5.927283599,-28.6585,-28.7160187,-31.13,5.85,lake,common shiner,may,liver,2024,103,112,12.6716,0.0891,M,0.5249,0.2617,0.1952,Odonate,1,NA,NA,,
LK10-M24-CS-202-M,4.100442874,-26.8918,-27.07498755,-29.69,6.18,lake,common shiner,may,muscle,2024,103,112,12.6716,0.0891,M,0.5249,0.2617,0.1952,Odonate,1,NA,NA,,
LK-M24-CS-3-L,5.700605451,-29.9107,-29.68423542,-31.61,5.07,lake,common shiner,may,liver,2024,87,97,6.654,0.0759,M,0.0143,0.2212,0.2212,empty,,NA,NA,,
LK-M24-CS-3-M,3.929893577,-30.01,-29.75897295,-31.64,5,lake,common shiner,may,muscle,2024,87,97,6.654,0.0759,M,0.0143,0.2212,0.2212,empty,,NA,NA,,
LK10-M24-CS-307-L,5.675414204,-29.701,-29.4851096,-31.43,5.1,lake,common shiner,may,liver,2024,100,110,11.7695,0.2051,F,0.4633,0.6388,0.4066,odonate parts,NA,NA,NA,,
LK10-M24-CS-307-M,4.137227497,-26.5332,-26.7706638,-29.47,6.32,lake,common shiner,may,muscle,2024,100,110,11.7695,0.2051,F,0.4633,0.6388,0.4066,odonate parts,NA,NA,NA,,
LK10-M24-CS-311-L,7.273286768,-28.7009,-28.84949662,-31.41,6.09,lake,common shiner,may,liver,2024,90,99,7.619,0.1264,F,0.3631,0.3262,0.2367,algae,NA,NA,NA,,
LK10-M24-CS-311-M,4.421014329,-27.3874,-27.79105912,-30.74,6.74,lake,common shiner,may,muscle,2024,90,99,7.619,0.1264,F,0.3631,0.3262,0.2367,algae,NA,NA,NA,,
LK10-M24-CS-4-L,6.984778026,-26.424,-26.69273277,-29.44,6.4,lake,common shiner,may,liver,2024,86,98,6.9971,0.0504,F,0.1884,0.3022,0.2365,dog food,NA,NA,NA,,
LK10-M24-CS-4-M,4.141577386,-24.3298,-25.25237004,-28.91,7.98,lake,common shiner,may,muscle,2024,86,98,6.9971,0.0504,F,0.1884,0.3022,0.2365,dog food,NA,NA,NA,,
LK10-M24-CS-5-L,7.423772749,-31.6918,-31.50424587,-33.5,5.18,lake,common shiner,may,liver,2024,111,122,19.0993,0.4513,F,1.0599,0.9153,0.4153,White goo/Detritus,NA,NA,NA,,
LK10-M24-CS-5-M,3.954523809,-28.9041,-28.79912512,-30.94,5.41,lake,common shiner,may,muscle,2024,111,122,19.0993,0.4513,F,1.0599,0.9153,0.4153,White goo/Detritus,NA,NA,NA,,
LK2-M24-CS-6-L,7.647320259,-28.0512,-27.84237481,-29.8,5.12,lake,common shiner,may,liver,2024,117,130,23.133,0.2985,M,0.2145,0.867,0.3878,Dog food/White goo,NA,NA,NA,,
LK2-M24-CS-6-M,4.12583892,-26.7963,-26.77183864,-29.05,5.63,lake,common shiner,may,muscle,2024,117,130,23.133,0.2985,M,0.2145,0.867,0.3878,Dog food/White goo,NA,NA,NA,,
LK2-O24-CS-2-L,7.344697649,-23.25874933,-23.91031641,-27.21,5.05,lake,common shiner,october,liver,2024,127,140,24.1718,0.2581,M,0.0752,1.1828,0.7708,dog food,NA,NA,NA,,
LK2-O24-CS-2-M,3.903466961,-24.37556771,-23.76060765,-24.92,5.77,lake,common shiner,october,muscle,2024,127,140,24.1718,0.2581,M,0.0752,1.1828,0.7708,dog food,NA,NA,NA,,
LK2-O24-CS-3-L,8.860688976,-24.32791791,-25.64318519,-29.78,5.64,lake,common shiner,october,liver,2024,147,160,38.3956,0.1935,M,0.1436,0.7218,0.5794,detritus or invert parts,NA,NA,NA,,
LK2-O24-CS-3-M,3.961973887,-28.14764585,-27.55108695,-28.75,5.75,lake,common shiner,october,muscle,2024,147,160,38.3956,0.1935,M,0.1436,0.7218,0.5794,detritus or invert parts,NA,NA,NA,,
LK2-O24-CS-4-L,7.818563448,-25.38962219,-26.24232902,-29.81,5.42,lake,common shiner,october,liver,2024,124,136,24.9101,0.2561,M,0.1951,2.1869,1.0589,dog food,NA,NA,NA,,
LK2-O24-CS-4-M,3.841537414,-29.40687796,-28.77256887,-29.89,6.39,lake,common shiner,october,muscle,2024,124,136,24.9101,0.2561,M,0.1951,2.1869,1.0589,dog food,NA,NA,NA,,
LK3-M24-CS-200-L,6.978720949,-27.6652,-27.60029708,-29.81,5.52,lake,common shiner,may,liver,2024,127,139,26.2446,0.0348,M,0.2603,1.4227,0.5541,Dog food/Detritus,NA,NA,NA,,
LK3-M24-CS-200-M,4.148832909,-26.4675,-26.48757474,-28.84,5.75,lake,common shiner,may,muscle,2024,127,139,26.2446,0.0348,M,0.2603,1.4227,0.5541,Dog food/Detritus,NA,NA,NA,,
LK3-M24-CS-201-M,6.434473729,-28.1745,-28.08405379,-30.25,5.45,lake,common shiner,may,muscle,2024,115,128,19.793,0.0363,F,1.0624,0.8922,0.288,Dog food,NA,NA,NA,,
LK3-M24-CS-202-L,9.352732818,-25.4862,-25.45804694,-27.73,5.62,lake,common shiner,may,liver,2024,130,144,36.6206,0.3902,M,0.2521,0.8292,0.4363,White goo,NA,NA,NA,,
LK3-M24-CS-202-M,4.195727857,-26.4729,-26.3246353,-28.39,5.29,lake,common shiner,may,muscle,2024,130,144,36.6206,0.3902,M,0.2521,0.8292,0.4363,White goo,NA,NA,NA,,
LK8-M24-CS-1-L,6.877817493,-29.5326,-29.74673305,-32.41,6.26,lake,common shiner,may,liver,2024,100,110,10.2388,0.0644,F,0.3148,0.3886,0.1877,Detritus/Yellow goo,NA,NA,NA,,
LK8-M24-CS-1-M,4.203880229,-26.5386,-26.99065608,-30.01,6.86,lake,common shiner,may,muscle,2024,100,110,10.2388,0.0644,F,0.3148,0.3886,0.1877,Detritus/Yellow goo,NA,NA,NA,,
CR1-O24-CS-2-L,5.541814297,-29.30360385,-29.24669168,-31.47,5.11,creek,common shiner,october,liver,2024,110,122,15.2953,too small,F,0.2778,0.4987,0.4987,empty,NA,NA,NA,,
CR1-O24-CS-2-L,5.541814297,-29.30360385,-29.24669168,-31.47,5.11,creek,common shiner,october,liver,2024,110,122,15.2953,too small,F,0.2778,0.4987,0.4987,empty,NA,NA,NA,,
CR1-O24-CS-2-L,5.541814297,-29.30360385,-29.24669168,-31.47,5.11,creek,common shiner,october,liver,2024,95,106,9.4887,0.0757,M,0.0119,0.3055,0.2374,pink/green goo,NA,NA,NA,,
CR1-O24-CS-2-M,3.997390966,-28.20258294,-27.61722028,-28.84,6.37,creek,common shiner,october,muscle,2024,110,122,15.2953,too small,F,0.2778,0.4987,0.4987,empty,NA,NA,NA,,
CR1-O24-CS-2-M,3.997390966,-28.20258294,-27.61722028,-28.84,6.37,creek,common shiner,october,muscle,2024,110,122,15.2953,too small,F,0.2778,0.4987,0.4987,empty,NA,NA,NA,,
CR1-O24-CS-2-M,3.997390966,-28.20258294,-27.61722028,-28.84,6.37,creek,common shiner,october,muscle,2024,95,106,9.4887,0.0757,M,0.0119,0.3055,0.2374,pink/green goo,NA,NA,NA,,
CR1-O24-CS-3-L,6.21269045,-28.58943645,-28.78524683,-31.42,4.77,creek,common shiner,october,liver,2024,115,125,16.5788,0.1546,M,0.1718,0.591,0.591,empty,NA,NA,NA,,
CR1-O24-CS-3-L,6.21269045,-28.58943645,-28.78524683,-31.42,4.77,creek,common shiner,october,liver,2024,82,91,5.4115,0.0674,F,0.2864,0.1852,0.1234,detritus/seed,NA,NA,NA,,
CR1-O24-CS-3-M,3.865292504,-28.39336042,-27.76645761,-28.9,5.95,creek,common shiner,october,muscle,2024,115,125,16.5788,0.1546,M,0.1718,0.591,0.591,empty,NA,NA,NA,,
CR1-O24-CS-3-M,3.865292504,-28.39336042,-27.76645761,-28.9,5.95,creek,common shiner,october,muscle,2024,82,91,5.4115,0.0674,F,0.2864,0.1852,0.1234,detritus/seed,NA,NA,NA,,
CR5-O24-CS-2-L,8.854613744,-28.82393239,-30.13642532,-34.27,5.49,creek,common shiner,october,liver,2024,100,111,10.5026,0.1436,F,0.5741,0.3575,0.3575,empty,NA,NA,NA,,
CR5-O24-CS-2-M,4.087472749,-30.39340198,-29.83670967,-31.12,7.01,creek,common shiner,october,muscle,2024,100,111,10.5026,0.1436,F,0.5741,0.3575,0.3575,empty,NA,NA,NA,,
LK1-O24-CS-1-L,8.656651275,-24.12991524,-25.35249514,-29.38,5.82,lake,common shiner,october,liver,2024,130,143,37.801,0.1575,M,0.2065,1.3341,0.9295,algae/detritus,NA,0.4,NA,,
LK1-O24-CS-1-L,8.656651275,-24.12991524,-25.35249514,-29.38,5.82,lake,common shiner,october,liver,2024,130,143,37.801,0.1575,M,0.2065,1.3341,0.9295,algae/detritus,NA,0.4,NA,,
21-OP48-CRAY-1,3.56,-23.74,-23.5356,-22.81501279,3.01,lake,crayfish,august,,2021,,,,,,,,,,,,,,
21-OP48-CRAY-2,3.6,-23.41,-23.166,-22.45750133,2.85,lake,crayfish,august,,2021,,,,,,,,,,,,,,
CC-S22-101-M,3.91925387,-26.54993867,-25.93993219,-27.11,8.76,creek,creek chub,august,muscle,2022,103,113,12.29,NA,F,NA,NA,NA,0.551g chironomids mixed with green and white goo,NA,NA,Liver taken,,
CC12-22-198-L,6.184857704,-28.20699087,-28.39205217,-31.01,5.93,creek,creek chub,may,liver,2022,95,103,9,NA,F,NA,NA,NA,NA,NA,NA,NA,,
CC12-22-198-M,3.887270002,-26.8616027,-26.24156933,-27.39,6.98,creek,creek chub,may,muscle,2022,95,103,9,NA,F,NA,NA,NA,NA,NA,NA,NA,,
CC18-22-240-M,3.864669596,-30.2139771,-29.58687983,-30.72,6.56,creek,creek chub,may,muscle,2022,85,92,6,NA,M,NA,NA,NA,Inverts,NA,NA,NA,,
CC18-22-240L,4.678089974,-29.55869093,-29.19672298,-30.87,5.87,creek,creek chub,may,liver,2022,85,92,6,,M,,,,Inverts,,,NA,,
UP2-22-82-L,8.064161984,-25.67647964,-26.63573694,-30.34,6.88,creek,creek chub,may,liver,2022,80,90,7,,M,,,,Empty,,,,,
UP2-22-82-M,3.97915093,-27.09064058,-26.49950641,-27.71,7.05,creek,creek chub,may,muscle,2022,80,90,7,,M,,,,Empty,,,,,
OP1-22-45-L,5.416439507,-27.30772489,-27.20508562,-29.35,5.51,lake,creek chub,may,liver,2022,109,116,14,NA,F,NA,NA,NA,Algae,NA,NA,NA,,
OP1-22-45-M,3.76047182,-28.8171329,-28.15769687,-29.22,6.78,lake,creek chub,may,muscle,2022,109,116,14,NA,F,NA,NA,NA,Algae,NA,NA,NA,,
OP16-A22-01-L,7.52528804,-18.19996484,-18.92748758,-22.33,5.89,lake,creek chub,august,liver,2022,200,210,96.5,NA,M,NA,NA,NA,White goo - 1.4g,NA,NA,NA,,
OP17-A22-02-L,4.803555075,-24.88448048,-24.56535574,-26.32,5.05,lake,creek chub,august,liver,2022,133,141,21.54,NA,M,NA,NA,NA,0.300g of pink goo,NA,NA,Liver taken,,
OP17-A22-02-M,3.899049609,-26.13994089,-25.5235963,-26.68,6.45,lake,creek chub,august,muscle,2022,133,141,21.54,NA,M,NA,NA,NA,0.300g of pink goo,NA,NA,Liver taken,,
OP2-S22-100-M,3.776921693,-27.43084752,-26.77649179,-27.85,6.46,lake,creek chub,august,muscle,2022,141,149,27.74,NA,M,NA,NA,NA,0.0135g of chironomids (extracted from goo);  0.924g of insect tissues (extracted from goo),NA,NA,Liver taken,,
OP5-22-136-M,3.938611304,-26.66077481,-26.05685396,-27.24,6.17,lake,creek chub,may,muscle,2022,99,105,10,NA,M,NA,NA,NA,Algae and dog food,NA,NA,NA,,
OP7-22-387-L,7.949192701,-23.02029923,-23.92948531,-27.57,7.05,lake,creek chub,may,liver,2022,105,112,16,NA,NA,NA,NA,NA,NA,NA,NA,Downstream clip,,
OP7-22-387-M,3.802523832,-27.47550141,-26.82907124,-27.92,7.78,lake,creek chub,may,muscle,2022,105,112,16,NA,NA,NA,NA,NA,NA,NA,NA,Downstream clip,,
UP1-22-117-L,5.908881445,-28.71020737,-28.78991322,-31.24,6.94,creek,creek chub,may,liver,2022,112,115,14,NA,F,NA,NA,NA,Green mush,NA,NA,NA,,
UP1-22-117-M,3.887270002,-28.4916027,-27.87156933,-29.02,7.5,creek,creek chub,may,muscle,2022,112,115,14,NA,F,NA,NA,NA,Green mush,NA,NA,NA,,
WD-S22-207-M,3.929150482,-30.53014102,-29.92324425,-31.1,6.65,creek,creek chub,august,muscle,2022,145,153,34.57,NA,M,NA,NA,NA,0.31g of pink & green goo,NA,NA,Liver taken,,
WU-22-13-L,5.725929627,-26.56132967,-26.57243627,-28.91,5.36,creek,creek chub,may,liver,2022,108,116,17,NA,F,NA,NA,NA,Empty,NA,NA,NA,,
WU-22-13-M,3.807465122,-26.45060953,-25.80571165,-26.9,6.59,creek,creek chub,may,muscle,2022,108,116,17,NA,F,NA,NA,NA,Empty,NA,NA,NA,,
WU-22-34-L,3.905942478,-26.32311695,-25.70893308,-26.87,7.71,creek,creek chub,may,liver,2022,75,82,5,NA,F,NA,NA,NA,NA,NA,NA,NA,,
WU-22-34-M,3.767016326,-28.87065384,-28.21323785,-29.28,8.16,creek,creek chub,may,muscle,2022,75,82,5,NA,F,NA,NA,NA,NA,NA,NA,NA,,
CR2-M23-CC-11-L,6.521147422,-26.99406405,-27.31049754,-30.13,5.87,creek,creek chub,may,liver,2023,132,145,35.5116,NA,M,0.6884,NA,0.4745,invert parts,NA,0.1355,NA,,
CR2-M23-CC-11-M,4.018331028,-28.46185228,-27.8831295,-29.12,5.87,creek,creek chub,may,muscle,2023,132,145,35.5116,NA,M,0.6884,NA,0.4745,invert parts,NA,0.1355,NA,,
CR6-023-CC-2-L,4.915559119,-26.97359647,-26.69314682,-28.52,5.85,creek,creek chub,october,liver,2023,119,126,17.8148,,M,0.3006,1.0904,0.7551,Pink goo,,0.3353,NA,,
CR6-023-CC-2-M,3.832326257,-27.98599701,-27.34882136,-28.46,6.68,creek,creek chub,october,muscle,2023,119,126,17.8148,,M,0.3006,1.0904,0.7551,Pink goo,,0.3353,NA,,
CR5-023-CC-6-L,6.041386453,-27.24902741,-27.37903834,-29.91,6.38,creek,creek chub,october,liver,2023,84,94,6.4455,,M,0.0444,0.3261,0.2394,Pink goo and invert parts,,0.0867,NA,,
CR5-023-CC-6-M,3.868188032,-27.72049385,-27.09449513,-28.23,7.05,creek,creek chub,october,muscle,2023,84,94,6.4455,,M,0.0444,0.3261,0.2394,Pink goo and invert parts,,0.0867,NA,,
CR5-023-CC-60-L,6.25528792,-24.36726496,-24.57957014,-27.24,6.32,creek,creek chub,october,liver,2023,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
CR5-023-CC-60-M,3.972144893,-26.04757656,-25.45422856,-26.66,7.34,creek,creek chub,october,muscle,2023,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
CR5-A23-CC-10-L,9.406302341,-21.91776068,-23.48577865,-27.91,5.78,creek,creek chub,august,liver,2023,140,150,42.8482,NA,M,0.198,4.6199,2.8835,Unidentified fish,NA,1.7364,NA,,
CR5-A23-CC-10-M,3.963866456,-26.11577221,-25.51981051,-26.72,6.78,creek,creek chub,august,muscle,2023,140,150,42.8482,NA,M,0.198,4.6199,2.8835,Unidentified fish,NA,1.7364,NA,,
CR5-A23-CC-7-L,6.474771707,-25.62997601,-25.92810003,-28.72,6.39,creek,creek chub,august,liver,2023,102,110,10.9745,NA,F,0.1781,0.641,0.641,Empty,NA,NA,NA,,
CR5-A23-CC-7-L,6.474771707,-25.62997601,-25.92810003,-28.72,6.39,creek,creek chub,august,liver,2023,159,169,52.6005,NA,M,0.5718,3.225,3.225,Empty,NA,NA,NA,,
CR5-A23-CC-7-L,5.125512666,-29.11574246,-28.90886689,-30.87,6.83,creek,creek chub,august,liver,2023,102,110,10.9745,NA,F,0.1781,0.641,0.641,Empty,NA,NA,NA,,
CR5-A23-CC-7-L,5.125512666,-29.11574246,-28.90886689,-30.87,6.83,creek,creek chub,august,liver,2023,159,169,52.6005,NA,M,0.5718,3.225,3.225,Empty,NA,NA,NA,,
CR5-A23-CC-7-M,3.779096421,-27.01869454,-26.36501115,-27.44,7.29,creek,creek chub,august,muscle,2023,102,110,10.9745,NA,F,0.1781,0.641,0.641,Empty,NA,NA,NA,,
CR5-A23-CC-7-M,3.779096421,-27.01869454,-26.36501115,-27.44,7.29,creek,creek chub,august,muscle,2023,159,169,52.6005,NA,M,0.5718,3.225,3.225,Empty,NA,NA,NA,,
CR5-A23-CC-8-L,4.997918575,-26.81206061,-26.56030559,-28.44,6.03,creek,creek chub,august,liver,2023,138,148,37.6546,NA,M,0.1391,4.5701,2.5862,Fish parts,NA,1.9839,NA,,
CR5-A23-CC-8-M,3.888917151,-27.65997202,-27.04045417,-28.19,7.4,creek,creek chub,august,muscle,2023,138,148,37.6546,NA,M,0.1391,4.5701,2.5862,Fish parts,NA,1.9839,NA,,
CR5-A23-CC-9-L,5.042246012,-28.27817645,-28.04195465,-29.95,5.43,creek,creek chub,august,liver,2023,100,108,11.8128,NA,M,0.0208,0.6046,0.6046,Empty,NA,NA,NA,,
CR5-A23-CC-9-M,3.872925833,-28.75580343,-28.13128465,-29.27,6.51,creek,creek chub,august,muscle,2023,100,108,11.8128,NA,M,0.0208,0.6046,0.6046,Empty,NA,NA,NA,,
CR5-M23-CC-1-L,4.770740458,-27.75696695,-27.42658768,-29.16,5.35,creek,creek chub,may,liver,2023,123,132,24.914,NA,F,4.0087,NA,0.9977,Caddisfly larvae,NA,0.0861,NA,,
CR5-M23-CC-1-M,3.832775563,-26.92555219,-26.2885163,-27.4,6.54,creek,creek chub,may,muscle,2023,123,132,24.914,NA,F,4.0087,NA,0.9977,Caddisfly larvae,NA,0.0861,NA,,
CR5-M23-CC-10-L,5.830905004,-25.88740405,-25.93774972,-28.34,7.64,creek,creek chub,may,liver,2023,180,190,77.4644,NA,M,3.0179,NA,2.1922,Mayfly larvae,NA,0.0802,NA,,
CR5-M23-CC-10-M,3.786408158,-26.35145592,-25.70003422,-26.78,7.16,creek,creek chub,may,muscle,2023,180,190,77.4644,NA,M,3.0179,NA,2.1922,Mayfly larvae,NA,0.0802,NA,,
CR5-M23-CC-2-L,6.02833971,-27.54194369,-27.66697847,-30.19,6.19,creek,creek chub,may,liver,2023,115,122,22.5359,NA,F,4.9304,NA,0.8326,pink goo,NA,0.1507,NA,,
CR5-M23-CC-2-M,4.07531142,-27.35544169,-26.79486264,-28.07,7.41,creek,creek chub,may,muscle,2023,115,122,22.5359,NA,F,4.9304,NA,0.8326,pink goo,NA,0.1507,NA,,
CR5-M23-CC-3-L,6.05124335,-26.41926908,-26.55304284,-29.09,6.79,creek,creek chub,may,liver,2023,82,88,6.1222,NA,M,0.0146,NA,0.2466,Pink goo,NA,0.0508,NA,,
CR5-M23-CC-3-M,3.82447081,-27.4137739,-26.77415591,-27.88,6.97,creek,creek chub,may,muscle,2023,82,88,6.1222,NA,M,0.0146,NA,0.2466,Pink goo,NA,0.0508,NA,,
CR5-M23-CC-4-L,5.131196403,-27.12011556,-26.91525111,-28.88,5.21,creek,creek chub,may,liver,2023,135,143,35.1297,NA,F,8.4645,NA,NA,Odonate,NA,0.26,NA,,
CR5-M23-CC-4-M,3.838207371,-27.2501747,-26.61482895,-27.73,6.18,creek,creek chub,may,muscle,2023,135,143,35.1297,NA,F,8.4645,NA,NA,Odonate,NA,0.26,NA,,
CR5-M23-CC-5-L,5.174978492,-27.63677129,-27.44743262,-29.44,5.96,creek,creek chub,may,liver,2023,96,103,11.5016,NA,F,2.2345,NA,0.3266,Pink goo,NA,0.1117,NA,,
CR5-M23-CC-5-M,3.776091698,-26.79166922,-26.13705693,-27.21,6.97,creek,creek chub,may,muscle,2023,96,103,11.5016,NA,F,2.2345,NA,0.3266,Pink goo,NA,0.1117,NA,,
CR5-M23-CC-6-L,5.459191745,-27.48540017,-27.39829951,-29.57,5.63,creek,creek chub,may,liver,2023,116,125,24.4122,NA,F,5.4328,NA,0.9866,Pink goo,NA,0.2339,NA,,
CR5-M23-CC-6-M,3.977972969,-26.82180676,-26.23030025,-27.44,6.3,creek,creek chub,may,muscle,2023,116,125,24.4122,NA,F,5.4328,NA,0.9866,Pink goo,NA,0.2339,NA,,
CR5-M23-CC-7-L,5.980415388,-27.76938877,-27.87618781,-30.37,5.83,creek,creek chub,may,liver,2023,113,121,21.1118,NA,F,4.5942,NA,0.4998,pink goo,NA,0.1361,NA,,
CR5-M23-CC-7-M,3.979666913,-27.71012976,-27.11915869,-28.33,7.27,creek,creek chub,may,muscle,2023,113,121,21.1118,NA,F,4.5942,NA,0.4998,pink goo,NA,0.1361,NA,,
CR5-M23-CC-8-L,6.026475731,-28.40378903,-28.52811328,-31.05,7.22,creek,creek chub,may,liver,2023,80,cut off,5.6951,NA,M,0.067,NA,0.1597,pink goo and detritus,NA,0.0472,NA,,
CR5-M23-CC-8-M,3.903500775,-27.35553423,-26.74058477,-27.9,7.79,creek,creek chub,may,muscle,2023,80,cut off,5.6951,NA,M,0.067,NA,0.1597,pink goo and detritus,NA,0.0472,NA,,
CR5-M23-CC-9-L,5.732252114,-26.90507041,-26.91853095,-29.26,6.46,creek,creek chub,may,liver,2023,110,118,17.4663,NA,F,2.9372,NA,0.6335,Pink goo,NA,0.1196,NA,,
CR5-M23-CC-9-M,4.022773968,-27.37745377,-26.80014173,-28.04,8.04,creek,creek chub,may,muscle,2023,110,118,17.4663,NA,F,2.9372,NA,0.6335,Pink goo,NA,0.1196,NA,,
CR6-023-CC-3-L,5.837049266,-25.65132123,-25.7039738,-28.11,7.13,creek,creek chub,october,liver,2023,156,164,30.5368,,M,too degraded,1.7655,1.2433,Dog food,,0.5222,,,
CR6-023-CC-3-M,3.970154224,-27.51954732,-26.92557061,-28.13,8,creek,creek chub,october,muscle,2023,156,164,30.5368,,M,too degraded,1.7655,1.2433,Dog food,,0.5222,,,
CR6-023-CC-4-L,5.524580962,-26.27066485,-26.20743877,-28.42,6.53,lake,creek chub,october,liver,2023,115,122,17.0929,,F,0.7752,1.0813,0.7843,Pink goo,,0.297,NA,,
CR6-023-CC-4-M,3.865431407,-26.59322291,-25.96636346,-27.1,7.47,lake,creek chub,october,muscle,2023,115,122,17.0929,,F,0.7752,1.0813,0.7843,Pink goo,,0.297,NA,,
CR6-023-CC-5-L,6.01490527,-24.84524378,-24.96515978,-27.48,7.34,creek,creek chub,october,liver,2023,145,154,38.5708,,M,0.3512,3.7804,2.883,Dog food,,0.8974,NA,,
CR6-023-CC-5-M,3.914976845,-27.37417292,-26.76282356,-27.93,8.19,creek,creek chub,october,muscle,2023,145,154,38.5708,,M,0.3512,3.7804,2.883,Dog food,,0.8974,NA,,
CR9-023-CC-1-L,5.712367729,-26.21475595,-26.22081734,-28.55,5.37,creek,creek chub,october,liver,2023,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
CR9-023-CC-1-M,3.890028888,-27.6288714,-27.00970155,-28.16,6.99,creek,creek chub,october,muscle,2023,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
CR9-A23-CC-1-M,3.782876886,-26.96495188,-26.31243764,-27.39,6.65,creek,creek chub,august,muscle,2023,88,95,9.5531,NA,M,NA,1.1397,0.5962,Macroinvertebrate parts,NA,0.508,NA,,
CR9-A23-CC-2-L,6.084422613,-26.33642161,-26.48288239,-29.04,6.61,creek,creek chub,august,liver,2023,77,84,5.6857,NA,M,0.0753,0.4906,0.3368,Ants,2,0.0508,NA,,
CR9-A23-CC-2-M,3.887270002,-27.2816027,-26.66156933,-27.81,7.58,creek,creek chub,august,muscle,2023,77,84,5.6857,NA,M,0.0753,0.4906,0.3368,Ants,2,0.0508,NA,,
CR9-A23-CC-3-M,3.878801005,-29.01998701,-28.39730453,-29.54,6.77,creek,creek chub,august,muscle,2023,70,75,4.0961,NA,IND,NA,0.2582,0.212,Mayfly parts,NA,0.0462,NA,,
CR9-A23-CC-4-L,10.46439202,-25.4102519,-27.4879352,-32.45,5.67,creek,creek chub,august,liver,2023,103,107,13.1324,NA,M,0.3405,0.5693,0.5693,Empty,NA,NA,NA,,
CR9-A23-CC-4-L,10.46439202,-25.4102519,-27.4879352,-32.45,5.67,creek,creek chub,august,liver,2023,73,77,5.0608,NA,NA,NA,0.3863,0.3863,Empty,NA,NA,NA,,
CR9-A23-CC-4-M,3.792918789,-28.5150104,-27.86560416,-28.95,6.86,creek,creek chub,august,muscle,2023,103,107,13.1324,NA,M,0.3405,0.5693,0.5693,Empty,NA,NA,NA,,
CR9-A23-CC-4-M,3.792918789,-28.5150104,-27.86560416,-28.95,6.86,creek,creek chub,august,muscle,2023,73,77,5.0608,NA,NA,NA,0.3863,0.3863,Empty,NA,NA,NA,,
CR9-A23-CC-5-L,6.59145783,-25.72445675,-26.06876576,-28.93,5.2,creek,creek chub,august,liver,2023,67,73,4.3262,NA,NA,NA,0.4252,0.2925,Odonate,1,0.108,NA,,
CR9-A23-CC-5-M,3.971228318,-27.17848397,-26.58484647,-27.79,6.34,creek,creek chub,august,muscle,2023,67,73,4.3262,NA,NA,NA,0.4252,0.2925,Odonate,1,0.108,NA,,
FN-A23-CC-1-L,5.194524067,-27.12742117,-26.94503305,-28.95,5.31,creek,creek chub,august,liver,2023,126,135,24.5551,NA,M,0.0887,2.6724,1.4502,Yellow Perch,1,1.1606,NA,,
